783,SALNS00594,ramA,SNSL254_RS03995,SNSL254_A0634,-,20,43
784,SALNS02670,nadB,SNSL254_RS14600,SNSL254_A2852,-,19,4
785,SALNS01256,phoP,SNSL254_RS07415,SNSL254_A1332,-,20,184
786,SALNS00753,cydA,SNSL254_RS04805,SNSL254_A0803,see:SNSL254_A0803,20,13
787,SALNS01330,SNSL254_A1415,SNSL254_RS07810,SNSL254_A1415,see:SNSL254_A1415,20,13
788,SALNS02880,hilD,SNSL254_RS15645,SNSL254_A3080,-,20,57
789,SALNS02760,SNSL254_A2952,SNSL254_RS15045,SNSL254_A2952,-,4,9
790,SALNS04515,hypT,SNSL254_RS23970,SNSL254_A4866,-,20,44
791,SALNS01548,ompC,SNSL254_RS08925,SNSL254_A1642,-,18,3
792,SALNS00702,fur,SNSL254_RS04560,SNSL254_A0752,-,20,255
793,SALNS01572,SNSL254_A1669,SNSL254_RS09055,SNSL254_A1669,-,13,2
794,SALNS03340,rpoN,SNSL254_RS17950,SNSL254_A3581,-,20,63
795,SALNS01712,pspF,SNSL254_RS09745,SNSL254_A1815,-,20,4
796,SALNS04277,soxS,SNSL254_RS22765,SNSL254_A4610,-,20,56
797,SALNS01735,cysB,SNSL254_RS09870,SNSL254_A1840,-,20,10
798,SALNS03514,ompR,SNSL254_RS18865,SNSL254_A3775,-,20,55
799,SALNS03616,SNSL254_A3879,SNSL254_RS19355,SNSL254_A3879,-,16,3
800,SALNS01711,pspA,SNSL254_RS09740,SNSL254_A1814,-,20,2
801,SALNS03763,SNSL254_A4034,SNSL254_RS20085,SNSL254_A4034,-,19,9
802,SALNS03615,SNSL254_A3878,SNSL254_RS19350,SNSL254_A3878,-,18,6
803,SALNS01082,SNSL254_A1153,SNSL254_RS06535,SNSL254_A1153,-,1,2
804,SALNS03478,crp,SNSL254_RS18690,SNSL254_A3737,-,20,210
805,SALNS00119,leuO,SNSL254_RS01615,SNSL254_A0127,-,19,57
806,SALNS04492,SNSL254_A4841,SNSL254_RS23880,SNSL254_A4841,-,1,5
807,SALNS00566,fimY,SNSL254_RS03855,SNSL254_A0603,-,18,43
808,SALNS01604,mcbR,SNSL254_RS09225,SNSL254_A1703,-,18,59
809,SALNS00593,SNSL254_A0633,SNSL254_RS03990,SNSL254_A0633,-,19,72
