0,Q8Z8W9,phnU,t2436,10,3
5,Q8Z1W5,aroE,t4103,11,5
6,Q8Z3M0,air,t3137,6,2
9,Q8Z8B1,galM,t2114,11,6
27,P0A1H8,exbB,t3079,11,10
31,Q83T14,artI,t2006,1,1
33,Q8Z1W7,yrdD,t4101,11,3
35,Q8XGX8,oadA,t0057,19,5
39,Q8Z1L1,pilS,t4247,1,1
53,Q8Z3C0,tatB,t3323,11,4
87,Q83T18,t1870,t1870,1,1
103,Q8Z933,frsA,t2532,11,4
105,Q8Z836,artM,t2008,11,7
118,Q8Z908,foxA,t2500,18,7
155,Q8Z8A0,hutI,t2100,11,1
176,Q8Z549,t0574,t0574,22,7
182,Q8Z993,yaeB,t0246,11,1
186,P0A1J8,flgN,t1749,11,4
204,Q8Z554,glpA,t0580,11,7
212,P58678,ispH,t0051,12,6
213,Q8Z8S3,cueR,t2361,11,45
223,Q8Z666,prc,t1033,11,1
228,Q8Z995,rof,t0239,11,1
230,Q8Z1Z3,argD,t4037,11,7
232,Q8Z5L3,pduP,t0823,11,4
239,P0A232,pldA,t3340,11,17
243,Q8XFH5,uxuB,t3057,11,1
250,P0A9X7,mreB,t3289,11,9
258,P67905,rpsJ,t4064,11,6
283,Q8XF73,holE,t1001,11,2
307,Q8Z3N9,t3105,t3105,11,1
313,Q8XFL0,menB,t0556,11,2
326,Q8Z9M8,citB,t0054,21,10
350,P0A1H0,dnaQ,t2601,10,5
374,Q8XF74,yhdJ,t3301,10,29
388,Q8Z167,sgaE,t4439,11,4
433,Q8XGR7,ydhD,t1301,11,9
459,Q8Z8R9,tesA,t2353,11,8
465,Q7C637,xylA,t3858,10,7
476,Q8Z866,moeB,t2044,11,1
493,Q8XGL5,yhfL,t4026,1,3
498,Q8Z3A8,xerC,t3348,11,5
499,Q8Z6Y7,dmsB,t1418,1,3
503,P0AA20,ompR,t4004,11,35
521,Q8XFQ8,tdk,t1661,11,8
527,P0A1E2,hemN,t3617,11,6
528,P0A6U1,gcvH,t2972,11,11
535,Q8Z5E0,t0728,t0728,1,1
539,P58542,araB,t0107,10,17
548,P0A2D0,fabG,t1725,11,10
558,Q83T65,t0677,t0677,1,1
568,Q8Z3H4,folP,t3212,11,4
572,P65934,pyrH,t0219,11,3
599,Q8Z8H0,rihA,t2212,11,2
606,Q8Z3W2,t2984,t2984,10,1
607,Q9XDC7,cytR,t3524,11,16
613,Q8Z5N8,cobS,t0857,11,5
617,Q8Z2G9,waaQ,t3795,11,3
683,Q8Z4L7,t0292,t0292,5,1
690,Q8Z590,yeiO,t0648,7,1
696,Q8Z9R6,thrC,t0004,11,4
719,Q8Z168,sgaU,t4438,11,7
727,Q8Z8B8,nadA,t2122,11,4
766,Q8Z2Y9,menA,t3528,11,2
773,Q8Z468,ygbF,t2838,11,3
789,Q8Z6C1,t1129,t1129,2,1
795,Q8Z6L7,sseD,t1269,7,1
816,Q8Z7H8,sifA,t1696,8,1
823,Q8Z680,minD,t1062,11,4
840,Q8XEW9,rfaE,t3120,11,3
841,Q8Z918,t2513,t2513,1,1
853,Q8XFP7,fbaB,t0715,7,2
872,Q8Z5V5,flhA,STY2122;t0964,22,4
874,Q8Z2C4,yiaJ,t3852,10,6
878,Q8Z9M2,citF,t0063,11,5
894,Q8Z5J2,rfbP,t0791,20,4
930,Q8Z2D5,aldB,t3839,11,5
947,P0A1R9,hupB,t2409,11,8
948,P64252,glpE,t3988,11,7
957,Q8Z9H9,leuL,t0118,6,1
958,Q8Z8I5,dcuC,t2240,11,6
963,Q8XF78,dps,t2057,11,6
977,Q9LAM3,ugtL,t1510,10,2
985,Q8Z8X9,secD,t2456,11,2
1005,Q8Z7S9,pyrD,t1862,11,6
1026,Q8XGC9,ybaO,t2400,10,1
1043,Q8Z859,yliJ,t2034,11,1
1046,Q8Z788,t1565,t1565,11,1
1048,Q8Z710,t1454,t1454,8,1
1072,Q8XG01,hypC,t2758,11,5
1076,Q8Z8B0,galK,t2113,11,15
1084,Q8Z8A9,galT,t2112,11,8
1089,Q8Z7M8,t1788,t1788,8,1
1099,Q8Z7K6,flgM,STY1211;t1748,12,9
1106,Q8Z251,ftsY,t3951,11,1
1121,Q8XFG7,fba,t2987,11,3
1135,Q8Z6L5,sscA,t1267,11,1
1143,Q8Z688,dadX,t1075,10,5
1149,Q8Z8D0,gltA,t2146,10,1
1162,P64096,fixB,t0077,11,8
1179,Q8Z5A3,galS,t0664,11,12
1181,P0A7Q9,rpmJ,t4086,7,2
1192,Q8Z4X4,nupC,t0448,10,9
1227,Q8Z8N7,fimW,t2311,3,1
1228,Q8XFH3,t1057,t1057,11,4
1231,Q8Z4G2,t2682,t2682,11,3
1239,P0A9Z5,glnB,t0295,11,7
1243,Q8Z420,recD,t2901,11,2
1254,Q8Z3I7,t3186,t3186,11,1
1277,Q8Z592,fruA,t0651,11,7
1284,P0A2E9,fliA,t0920,11,11
1309,P65511,yheR,t4047,11,1
1311,Q8XGT9,sspB,t3258,11,1
1319,Q8XG99,t1165,t1165,10,3
1338,Q8Z787,fnr,t1564,13,137
1339,Q8Z4R9,STY2726,STY2726,11,3
1340,Q8Z8L5,entF,t2280,11,3
1343,Q8Z6Z8,t1435,t1435,11,1
1356,Q8Z5K8,t0817,t0817,11,6
1363,Q8XGD0,hpcG,t1814,11,3
1378,Q8Z194,psd,t4400,11,9
1389,Q8XGF1,ftsW,t0131,11,10
1395,Q8Z3B2,recQ,t3339,2,1
1401,P60194,t0550,t0550,22,1
1410,Q8XGD2,ybaN,t2378,1,1
1415,Q8Z1E3,t4325,t4325,1,2
1416,O51802,rci,t4252,17,1
1429,Q8Z8L1,entE,t2272,19,11
1452,Q8XFW5,pssA,t0258,11,3
1464,Q8XH24,melR,t4204,11,8
1466,Q8Z317,birA,t3488,11,12
1475,P65399,moaE,t2081,11,12
1481,O30622,t2767,t2767,2,1
1482,Q8XGA0,rplU,t3221,9,5
1491,Q8Z4F5,t2692,t2692,11,3
1522,Q8Z2C5,t3851,t3851,8,1
1528,Q83SV3,t3352,t3352,1,1
1531,Q8Z7Q2,hpaG,t1818,10,2
1543,Q8Z5B5,bglX,t0689,11,4
1546,P0A1Q5,dnaB,t4152,11,8
1593,Q8Z342,t3434,t3434,36,12
1598,Q8Z8L7,fes,t2282,11,10
